x,y
-3.1890459e-02,2.00000e+00,
-3.1880461e-02,2.00000e+00,
-3.1870462e-02,1.60000e+00,
-3.1860463e-02,2.00000e+00,
-3.1850465e-02,2.00000e+00,
-3.1840466e-02,2.00000e+00,
-3.1830467e-02,2.00000e+00,
-3.1820469e-02,2.00000e+00,
-3.1810470e-02,2.00000e+00,
-3.1800471e-02,2.00000e+00,
-3.1790473e-02,2.00000e+00,
-3.1780474e-02,2.00000e+00,
-3.1770475e-02,2.00000e+00,
-3.1760477e-02,2.00000e+00,
-3.1750478e-02,2.00000e+00,
-3.1740479e-02,2.00000e+00,
-3.1730480e-02,2.00000e+00,
-3.1720482e-02,2.00000e+00,
-3.1710483e-02,2.00000e+00,
-3.1700484e-02,2.00000e+00,
-3.1690486e-02,2.00000e+00,
-3.1680487e-02,2.00000e+00,
-3.1670488e-02,1.60000e+00,
-3.1660490e-02,2.00000e+00,
-3.1650491e-02,2.00000e+00,
-3.1640492e-02,2.00000e+00,
-3.1630494e-02,2.00000e+00,
-3.1620495e-02,2.00000e+00,
-3.1610496e-02,2.00000e+00,
-3.1600498e-02,2.00000e+00,
-3.1590499e-02,2.00000e+00,
-3.1580500e-02,2.00000e+00,
-3.1570502e-02,2.00000e+00,
-3.1560503e-02,2.00000e+00,
-3.1550504e-02,2.00000e+00,
-3.1540506e-02,2.00000e+00,
-3.1530507e-02,2.00000e+00,
-3.1520508e-02,2.00000e+00,
-3.1510510e-02,2.00000e+00,
-3.1500511e-02,2.00000e+00,
-3.1490512e-02,2.00000e+00,
-3.1480514e-02,2.00000e+00,
-3.1470515e-02,2.00000e+00,
-3.1460516e-02,2.00000e+00,
-3.1450517e-02,2.00000e+00,
-3.1440519e-02,2.00000e+00,
-3.1430520e-02,2.00000e+00,
-3.1420521e-02,2.00000e+00,
-3.1410523e-02,2.00000e+00,
-3.1400524e-02,2.00000e+00,
-3.1390525e-02,2.00000e+00,
-3.1380527e-02,2.00000e+00,
-3.1370528e-02,2.00000e+00,
-3.1360529e-02,2.00000e+00,
-3.1350531e-02,2.00000e+00,
-3.1340532e-02,2.00000e+00,
-3.1330533e-02,2.00000e+00,
-3.1320535e-02,2.00000e+00,
-3.1310536e-02,2.00000e+00,
-3.1300537e-02,2.00000e+00,
-3.1290539e-02,2.00000e+00,
-3.1280540e-02,2.00000e+00,
-3.1270541e-02,2.00000e+00,
-3.1260543e-02,2.00000e+00,
-3.1250544e-02,2.00000e+00,
-3.1240543e-02,2.00000e+00,
-3.1230543e-02,2.00000e+00,
-3.1220542e-02,1.60000e+00,
-3.1210542e-02,2.00000e+00,
-3.1200541e-02,2.00000e+00,
-3.1190541e-02,1.60000e+00,
-3.1180540e-02,1.60000e+00,
-3.1170540e-02,2.00000e+00,
